ESTACION;NOMBRE;ANO-MES;TIPO;OPERADA;Pmensual;Panual;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
00074018;CARTAGENA;1968-01;PV;SENARA;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1968-02;PV;SENARA;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1968-03;PV;SENARA;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1968-04;PV;SENARA;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1968-05;PV;SENARA;343,5;;0;0;0;0;0;15;21;54;6;2,5;24;18,5;37;0;0,5;0;0;0;6,5;3,5;12;2;2,5;0;13;0;3,5;1,5;40,5;0;80
00074018;CARTAGENA;1968-06;PV;SENARA;538;;76;17;1;50,5;75;0;0;0;50;19;9;13;20;23;5;2;36;19;54;0;10;9;2;0;6,5;0;32;1,5;0;7,5;0
00074018;CARTAGENA;1968-07;PV;SENARA;111,5;;0;0;14;3;2,5;0;0;0;0;0;0;28;0;0;0;0;0;12,5;15;25;0;0;0;0;0;0;0;0;0;0;11,5
00074018;CARTAGENA;1968-08;PV;SENARA;137,5;;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;18,5;0;6;0;0;0;0;0;0;0;21;5;19
00074018;CARTAGENA;1968-09;PV;SENARA;384,5;;0;8;0;0;18;0;14,5;0;0;0;0;5,5;0;50,5;20,5;50,5;35;5;0;30,5;15,5;10,5;80,5;15;0;0;22;0;3;0;0
00074018;CARTAGENA;1968-10;PV;SENARA;459,5;;6;24;1;0;0;3;5;0;33;22;18,5;12;18;-8;43;78;40;32;15;9;0;0;10;-8;56,5;0;0;5;13,5;0;31
00074018;CARTAGENA;1968-11;PV;SENARA;81,5;;22;0;3,5;0;0;0;16;0;4,5;0;11;1,5;0;0;2;0;3;0;15;0;0;0;0;2;0;0;0;1;0;0;0
00074018;CARTAGENA;1968-12;PV;SENARA;0;2056;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1969-01;PV;SENARA;1,5;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,5;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1969-02;PV;SENARA;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1969-03;PV;SENARA;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
00074018;CARTAGENA;1969-04;PV;SENARA;76;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;12;0;0;0;0;3;51;0;0;0;0;0;0
00074018;CARTAGENA;1969-05;PV;SENARA;34,5;;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;3;11,5;0;0;0;0;2,5;0;10,5;0;0;0;0;0;0;0
00074018;CARTAGENA;1969-06;PV;SENARA;264;;32,5;40;1,5;1;0;10;10;8,5;0;0,5;0;22,5;2,5;0;14,5;56;15;0,5;5;18,5;0,5;0;0,5;2,5;1;0;8,5;10;2,5;0;0
00074018;CARTAGENA;1969-07;PV;SENARA;-53;;7;0;0;0;14;0;5;23;0;0;0;47,5;3,5;0;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9
00074018;CARTAGENA;1969-08;PV;SENARA;300;;0;0;0;0;0;0;0;0;0;0;0;0;15;2;21,5;91;2,5;4,5;6;0;0,5;20;0;6,5;0,5;0;55;1,5;0;54;19,5
00074018;CARTAGENA;1969-09;PV;SENARA;293,5;;10,5;9;59;0,5;0;0;54;1;4,5;0;0;0;0;0;7;18;2,5;4;6,5;7;8;35;0;0;0;22;0;26;0;19;0
